DATE,MDSP
1/1/80,4.375714
4/1/80,4.484928
7/1/80,4.493386
10/1/80,4.512131
1/1/81,4.596082
4/1/81,4.723624
7/1/81,4.720102
10/1/81,4.802776
1/1/82,4.884527
4/1/82,4.930689
7/1/82,4.890362
10/1/82,4.876376
1/1/83,4.850575
4/1/83,4.850596
7/1/83,4.854205
10/1/83,4.870328
1/1/84,4.895675
4/1/84,4.934267
7/1/84,4.972294
10/1/84,5.042887
1/1/85,5.22003
4/1/85,5.281076
7/1/85,5.408039
10/1/85,5.482499
1/1/86,5.504987
4/1/86,5.542903
7/1/86,5.598595
10/1/86,5.698757
1/1/87,5.705198
4/1/87,5.823345
7/1/87,5.789598
10/1/87,5.733047
1/1/88,5.734042
4/1/88,5.767063
7/1/88,5.791636
10/1/88,5.726589
1/1/89,5.75387
4/1/89,5.859422
7/1/89,5.948757
10/1/89,5.981797
1/1/90,6.013543
4/1/90,6.06
7/1/90,6.101873
10/1/90,6.184847
1/1/91,6.222793
4/1/91,6.195692
7/1/91,6.181328
10/1/91,6.100082
1/1/92,5.988402
4/1/92,5.906447
7/1/92,5.837651
10/1/92,5.795003
1/1/93,5.766582
4/1/93,5.705527
7/1/93,5.700123
10/1/93,5.613104
1/1/94,5.556527
4/1/94,5.528256
7/1/94,5.551088
10/1/94,5.579557
1/1/95,5.640501
4/1/95,5.686069
7/1/95,5.662631
10/1/95,5.629141
1/1/96,5.589139
4/1/96,5.59455
7/1/96,5.602688
10/1/96,5.5942
1/1/97,5.603136
4/1/97,5.625504
7/1/97,5.619572
10/1/97,5.582594
1/1/98,5.515538
4/1/98,5.49407
7/1/98,5.465615
10/1/98,5.45525
1/1/99,5.467995
4/1/99,5.523223
7/1/99,5.56638
10/1/99,5.585897
1/1/00,5.576028
4/1/00,5.620703
7/1/00,5.654453
10/1/00,5.701759
1/1/01,5.6952
4/1/01,5.775652
7/1/01,5.756607
10/1/01,5.929021
1/1/02,5.811716
4/1/02,5.775532
7/1/02,5.808071
10/1/02,5.831791
1/1/03,5.871306
4/1/03,5.841388
7/1/03,5.770361
10/1/03,5.828804
1/1/04,5.836053
4/1/04,5.834537
7/1/04,5.922967
10/1/04,5.992662
1/1/05,6.236844
4/1/05,6.284713
7/1/05,6.403871
10/1/05,6.497914
1/1/06,6.52826
4/1/06,6.694844
7/1/06,6.848394
10/1/06,6.948173
1/1/07,6.984662
4/1/07,7.012782
7/1/07,7.086436
10/1/07,7.183105
1/1/08,7.122571
4/1/08,6.929816
7/1/08,6.965083
10/1/08,6.926282
1/1/09,6.888041
4/1/09,6.737112
7/1/09,6.66387
10/1/09,6.533026
1/1/10,6.351318
4/1/10,6.181717
7/1/10,6.07835
10/1/10,5.934182
1/1/11,5.706958
4/1/11,5.641073
7/1/11,5.560286
10/1/11,5.436148
1/1/12,5.275065
4/1/12,5.165782
7/1/12,5.14576
10/1/12,4.934149
1/1/13,5.030038
4/1/13,4.931149
7/1/13,4.871036
10/1/13,4.842365
1/1/14,4.747875
4/1/14,4.666341
7/1/14,4.593134
10/1/14,4.530003
1/1/15,4.512159
4/1/15,4.466645
7/1/15,4.445439
10/1/15,4.453962
1/1/16,4.428295
4/1/16,4.427381
7/1/16,4.411098
10/1/16,4.345691
1/1/17,4.302719
4/1/17,4.2678
7/1/17,4.252856
10/1/17,4.232584
1/1/18,4.195541
4/1/18,4.184469
7/1/18,4.151762
10/1/18,4.132843
1/1/19,4.121028
4/1/19,4.116403
7/1/19,4.101485
10/1/19,4.078061
1/1/20,4.038931
4/1/20,3.698076
7/1/20,3.817974
10/1/20,3.905026
1/1/21,3.465054
4/1/21,3.740795
7/1/21,3.75944
10/1/21,3.801857
1/1/22,3.883553
4/1/22,3.910192
7/1/22,3.95537
10/1/22,3.977217
1/1/23,3.932065