DATE,GFDEGDQ188S,,https://fred.stlouisfed.org/series/GFDEGDQ188S
1/1/66,40.33999,,
4/1/66,39.26763,,
7/1/66,39.62091,,
10/1/66,39.51977,,
1/1/67,39.20383,,
4/1/67,38.03292,,
7/1/67,38.82145,,
10/1/67,39.10231,,
1/1/68,38.42951,,
4/1/68,36.96379,,
7/1/68,37.30897,,
10/1/68,36.98532,,
1/1/69,36.19577,,
4/1/69,34.97403,,
7/1/69,35.01946,,
10/1/69,35.46954,,
1/1/70,35.38879,,
4/1/70,34.67329,,
7/1/70,34.86717,,
10/1/70,35.74822,,
1/1/71,34.50345,,
4/1/71,34.36089,,
7/1/71,35.00694,,
10/1/71,35.63237,,
1/1/72,34.72622,,
4/1/72,33.67383,,
7/1/72,33.62447,,
10/1/72,33.74758,,
1/1/73,33.29287,,
4/1/73,32.34466,,
7/1/73,32.12455,,
10/1/73,31.77379,,
1/1/74,31.76449,,
4/1/74,30.99462,,
7/1/74,30.86269,,
10/1/74,30.79768,,
1/1/75,31.53604,,
4/1/75,32.27817,,
7/1/75,32.38043,,
10/1/75,32.7301,,
1/1/76,32.98513,,
4/1/76,33.49464,,
7/1/76,33.64333,,
10/1/76,33.78753,,
1/1/77,33.65136,,
4/1/77,32.80422,,
7/1/77,32.98791,,
10/1/77,33.21873,,
1/1/78,33.5012,,
4/1/78,32.12444,,
7/1/78,32.21407,,
10/1/78,31.86206,,
1/1/79,31.53601,,
4/1/79,31.06277,,
7/1/79,30.98402,,
10/1/79,31.02615,,
1/1/80,30.94982,,
4/1/80,31.37303,,
7/1/80,31.77687,,
10/1/80,31.157,,
1/1/81,30.87284,,
4/1/81,30.70875,,
7/1/81,30.60333,,
10/1/81,31.35587,,
1/1/82,32.41298,,
4/1/82,32.40213,,
7/1/82,33.9253,,
10/1/82,35.18156,,
1/1/83,35.82911,,
4/1/83,36.87167,,
7/1/83,37.3311,,
10/1/83,37.17553,,
1/1/84,37.45447,,
4/1/84,37.72687,,
7/1/84,38.49586,,
10/1/84,40.08547,,
1/1/85,40.44121,,
4/1/85,41.31983,,
7/1/85,41.55909,,
10/1/85,43.78715,,
1/1/86,44.07415,,
4/1/86,45.30682,,
7/1/86,46.12536,,
10/1/86,47.55286,,
1/1/87,47.57835,,
4/1/87,48.04867,,
7/1/87,48.1165,,
10/1/87,48.55667,,
1/1/88,49.03151,,
4/1/88,49.08744,,
7/1/88,49.25732,,
10/1/88,49.71548,,
1/1/89,49.73276,,
4/1/89,49.8876,,
7/1/89,50.17117,,
10/1/89,51.38111,,
1/1/90,51.96856,,
4/1/90,52.7473,,
7/1/90,53.75313,,
10/1/90,56.03613,,
1/1/91,57.41652,,
4/1/91,57.74551,,
7/1/91,59.06123,,
10/1/91,60.68599,,
1/1/92,60.99679,,
4/1/92,61.57938,,
7/1/92,61.89802,,
10/1/92,62.52256,,
1/1/93,62.86657,,
4/1/93,63.91524,,
7/1/93,64.10093,,
10/1/93,64.66861,,
1/1/94,64.30709,,
4/1/94,64.10716,,
7/1/94,64.01176,,
10/1/94,64.38584,,
1/1/95,64.66271,,
4/1/95,65.31294,,
7/1/95,64.73906,,
10/1/95,64.18282,,
1/1/96,65.04171,,
4/1/96,64.2497,,
7/1/96,64.25469,,
10/1/96,64.44697,,
1/1/97,64.34428,,
4/1/97,63.10907,,
7/1/97,62.48709,,
10/1/97,62.77032,,
1/1/98,62.50988,,
4/1/98,61.85196,,
7/1/98,60.58693,,
10/1/98,60.40696,,
1/1/99,60.04894,,
4/1/99,59.19227,,
7/1/99,58.39258,,
10/1/99,58.34336,,
1/1/00,57.72134,,
4/1/00,55.48491,,
7/1/00,54.99213,,
10/1/00,54.2579,,
1/1/01,55.14434,,
4/1/01,54.03165,,
7/1/01,54.79763,,
10/1/01,55.75216,,
1/1/02,55.6965,,
4/1/02,56.27087,,
7/1/02,56.7026,,
10/1/02,57.91028,,
1/1/03,57.81906,,
4/1/03,58.96101,,
7/1/03,58.64541,,
10/1/03,59.44466,,
1/1/04,59.8071,,
4/1/04,60.05487,,
7/1/04,59.96643,,
10/1/04,60.63713,,
1/1/05,60.91302,,
4/1/05,60.64153,,
7/1/05,60.35856,,
10/1/05,61.32008,,
1/1/06,61.55642,,
4/1/06,61.22142,,
7/1/06,61.3328,,
10/1/06,61.82689,,
1/1/07,62.25297,,
4/1/07,61.57219,,
7/1/07,61.84826,,
10/1/07,62.71924,,
1/1/08,64.17278,,
4/1/08,63.85172,,
7/1/08,67.28455,,
10/1/08,73.24516,,
1/1/09,77.10496,,
4/1/09,80.28013,,
7/1/09,82.42733,,
10/1/09,84.02935,,
1/1/10,86.51175,,
4/1/10,88.12832,,
7/1/10,89.56529,,
10/1/10,91.61136,,
1/1/11,92.95617,,
4/1/11,92.19383,,
7/1/11,94.52097,,
10/1/11,96.09067,,
1/1/12,97.12296,,
4/1/12,97.82754,,
7/1/12,98.44787,,
10/1/12,100.07517,,
1/1/13,100.85592,,
4/1/13,100.23216,,
7/1/13,98.97766,,
10/1/13,100.13427,,
1/1/14,102.6653,,
4/1/14,100.97295,,
7/1/14,100.45563,,
10/1/14,101.61828,,
1/1/15,100.89325,,
4/1/15,99.77075,,
7/1/15,99.146,,
10/1/15,103.21895,,
1/1/16,104.55696,,
4/1/16,104.13706,,
7/1/16,104.25015,,
10/1/16,105.31835,,
1/1/17,103.64643,,
4/1/17,102.79752,,
7/1/17,103.4915,,
10/1/17,103.0058,,
1/1/18,104.63475,,
4/1/18,103.54111,,
7/1/18,104.00623,,
10/1/18,105.54691,,
1/1/19,104.82935,,
4/1/19,103.52961,,
7/1/19,105.51538,,
10/1/19,106.88663,,
1/1/20,107.827,,
4/1/20,134.83528,,
7/1/20,126.1345,,
10/1/20,127.84231,,
1/1/21,126.07672,,
4/1/21,123.78842,,
7/1/21,120.71513,,
10/1/21,121.63566,,
1/1/22,122.87943,,
4/1/22,121.071,,
7/1/22,120.23396,,
10/1/22,120.20697,,
1/1/23,118.77255,,