DATE,GFDGDPA188S,,https://fred.stlouisfed.org/series/GFDGDPA188S
1/1/39,51.58556,,
1/1/40,49.27162,,
1/1/41,44.46713,,
1/1/42,47.72464,,
1/1/43,70.21725,,
1/1/44,90.93461,,
1/1/45,114.07545,,
1/1/46,119.10256,,
1/1/47,102.99821,,
1/1/48,91.81398,,
1/1/49,92.70575,,
1/1/50,85.68274,,
1/1/51,73.59173,,
1/1/52,70.53392,,
1/1/53,68.34216,,
1/1/54,69.33829,,
1/1/55,64.49217,,
1/1/56,60.68725,,
1/1/57,57.44253,,
1/1/58,58.12202,,
1/1/59,55.11316,,
1/1/60,53.56004,,
1/1/61,52.0447,,
1/1/62,50.15548,,
1/1/63,48.67833,,
1/1/64,46.18239,,
1/1/65,43.41975,,
1/1/66,40.38534,,
1/1/67,39.58328,,
1/1/68,39.19626,,
1/1/69,35.9468,,
1/1/70,35.48858,,
1/1/71,35.04314,,
1/1/72,34.07838,,
1/1/73,32.71418,,
1/1/74,31.31546,,
1/1/75,32.16207,,
1/1/76,33.5751,,
1/1/77,33.93175,,
1/1/78,33.02434,,
1/1/79,31.57194,,
1/1/80,31.81317,,
1/1/81,31.01925,,
1/1/82,34.01231,,
1/1/83,37.74589,,
1/1/84,38.75062,,
1/1/85,41.88543,,
1/1/86,46.30286,,
1/1/87,48.31918,,
1/1/88,49.67308,,
1/1/89,50.83328,,
1/1/90,53.76862,,
1/1/91,58.43008,,
1/1/92,61.37422,,
1/1/93,63.43898,,
1/1/94,63.71826,,
1/1/95,64.40788,,
1/1/96,64.18211,,
1/1/97,62.59595,,
1/1/98,60.44699,,
1/1/99,58.20164,,
1/1/00,54.90905,,
1/1/01,54.52598,,
1/1/02,56.7146,,
1/1/03,59.00606,,
1/1/04,60.19957,,
1/1/05,60.6272,,
1/1/06,61.17295,,
1/1/07,61.83888,,
1/1/08,67.61133,,
1/1/09,82.02683,,
1/1/10,89.89851,,
1/1/11,94.64394,,
1/1/12,98.75064,,
1/1/13,99.26501,,
1/1/14,101.38919,,
1/1/15,99.52805,,
1/1/16,104.51666,,
1/1/17,103.73954,,
1/1/18,104.52559,,
1/1/19,106.0265,,
1/1/20,127.73929,,
1/1/21,121.74781,,
1/1/22,121.11274,,