DATE,IORB,,,
7/29/21,0.15,,,https://fred.stlouisfed.org/series/IORB
7/30/21,0.15,,,
7/31/21,0.15,,,
8/1/21,0.15,,,
8/2/21,0.15,,,
8/3/21,0.15,,,
8/4/21,0.15,,,
8/5/21,0.15,,,
8/6/21,0.15,,,
8/7/21,0.15,,,
8/8/21,0.15,,,
8/9/21,0.15,,,
8/10/21,0.15,,,
8/11/21,0.15,,,
8/12/21,0.15,,,
8/13/21,0.15,,,
8/14/21,0.15,,,
8/15/21,0.15,,,
8/16/21,0.15,,,
8/17/21,0.15,,,
8/18/21,0.15,,,
8/19/21,0.15,,,
8/20/21,0.15,,,
8/21/21,0.15,,,
8/22/21,0.15,,,
8/23/21,0.15,,,
8/24/21,0.15,,,
8/25/21,0.15,,,
8/26/21,0.15,,,
8/27/21,0.15,,,
8/28/21,0.15,,,
8/29/21,0.15,,,
8/30/21,0.15,,,
8/31/21,0.15,,,
9/1/21,0.15,,,
9/2/21,0.15,,,
9/3/21,0.15,,,
9/4/21,0.15,,,
9/5/21,0.15,,,
9/6/21,0.15,,,
9/7/21,0.15,,,
9/8/21,0.15,,,
9/9/21,0.15,,,
9/10/21,0.15,,,
9/11/21,0.15,,,
9/12/21,0.15,,,
9/13/21,0.15,,,
9/14/21,0.15,,,
9/15/21,0.15,,,
9/16/21,0.15,,,
9/17/21,0.15,,,
9/18/21,0.15,,,
9/19/21,0.15,,,
9/20/21,0.15,,,
9/21/21,0.15,,,
9/22/21,0.15,,,
9/23/21,0.15,,,
9/24/21,0.15,,,
9/25/21,0.15,,,
9/26/21,0.15,,,
9/27/21,0.15,,,
9/28/21,0.15,,,
9/29/21,0.15,,,
9/30/21,0.15,,,
10/1/21,0.15,,,
10/2/21,0.15,,,
10/3/21,0.15,,,
10/4/21,0.15,,,
10/5/21,0.15,,,
10/6/21,0.15,,,
10/7/21,0.15,,,
10/8/21,0.15,,,
10/9/21,0.15,,,
10/10/21,0.15,,,
10/11/21,0.15,,,
10/12/21,0.15,,,
10/13/21,0.15,,,
10/14/21,0.15,,,
10/15/21,0.15,,,
10/16/21,0.15,,,
10/17/21,0.15,,,
10/18/21,0.15,,,
10/19/21,0.15,,,
10/20/21,0.15,,,
10/21/21,0.15,,,
10/22/21,0.15,,,
10/23/21,0.15,,,
10/24/21,0.15,,,
10/25/21,0.15,,,
10/26/21,0.15,,,
10/27/21,0.15,,,
10/28/21,0.15,,,
10/29/21,0.15,,,
10/30/21,0.15,,,
10/31/21,0.15,,,
11/1/21,0.15,,,
11/2/21,0.15,,,
11/3/21,0.15,,,
11/4/21,0.15,,,
11/5/21,0.15,,,
11/6/21,0.15,,,
11/7/21,0.15,,,
11/8/21,0.15,,,
11/9/21,0.15,,,
11/10/21,0.15,,,
11/11/21,0.15,,,
11/12/21,0.15,,,
11/13/21,0.15,,,
11/14/21,0.15,,,
11/15/21,0.15,,,
11/16/21,0.15,,,
11/17/21,0.15,,,
11/18/21,0.15,,,
11/19/21,0.15,,,
11/20/21,0.15,,,
11/21/21,0.15,,,
11/22/21,0.15,,,
11/23/21,0.15,,,
11/24/21,0.15,,,
11/25/21,0.15,,,
11/26/21,0.15,,,
11/27/21,0.15,,,
11/28/21,0.15,,,
11/29/21,0.15,,,
11/30/21,0.15,,,
12/1/21,0.15,,,
12/2/21,0.15,,,
12/3/21,0.15,,,
12/4/21,0.15,,,
12/5/21,0.15,,,
12/6/21,0.15,,,
12/7/21,0.15,,,
12/8/21,0.15,,,
12/9/21,0.15,,,
12/10/21,0.15,,,
12/11/21,0.15,,,
12/12/21,0.15,,,
12/13/21,0.15,,,
12/14/21,0.15,,,
12/15/21,0.15,,,
12/16/21,0.15,,,
12/17/21,0.15,,,
12/18/21,0.15,,,
12/19/21,0.15,,,
12/20/21,0.15,,,
12/21/21,0.15,,,
12/22/21,0.15,,,
12/23/21,0.15,,,
12/24/21,0.15,,,
12/25/21,0.15,,,
12/26/21,0.15,,,
12/27/21,0.15,,,
12/28/21,0.15,,,
12/29/21,0.15,,,
12/30/21,0.15,,,
12/31/21,0.15,,,
1/1/22,0.15,,,
1/2/22,0.15,,,
1/3/22,0.15,,,
1/4/22,0.15,,,
1/5/22,0.15,,,
1/6/22,0.15,,,
1/7/22,0.15,,,
1/8/22,0.15,,,
1/9/22,0.15,,,
1/10/22,0.15,,,
1/11/22,0.15,,,
1/12/22,0.15,,,
1/13/22,0.15,,,
1/14/22,0.15,,,
1/15/22,0.15,,,
1/16/22,0.15,,,
1/17/22,0.15,,,
1/18/22,0.15,,,
1/19/22,0.15,,,
1/20/22,0.15,,,
1/21/22,0.15,,,
1/22/22,0.15,,,
1/23/22,0.15,,,
1/24/22,0.15,,,
1/25/22,0.15,,,
1/26/22,0.15,,,
1/27/22,0.15,,,
1/28/22,0.15,,,
1/29/22,0.15,,,
1/30/22,0.15,,,
1/31/22,0.15,,,
2/1/22,0.15,,,
2/2/22,0.15,,,
2/3/22,0.15,,,
2/4/22,0.15,,,
2/5/22,0.15,,,
2/6/22,0.15,,,
2/7/22,0.15,,,
2/8/22,0.15,,,
2/9/22,0.15,,,
2/10/22,0.15,,,
2/11/22,0.15,,,
2/12/22,0.15,,,
2/13/22,0.15,,,
2/14/22,0.15,,,
2/15/22,0.15,,,
2/16/22,0.15,,,
2/17/22,0.15,,,
2/18/22,0.15,,,
2/19/22,0.15,,,
2/20/22,0.15,,,
2/21/22,0.15,,,
2/22/22,0.15,,,
2/23/22,0.15,,,
2/24/22,0.15,,,
2/25/22,0.15,,,
2/26/22,0.15,,,
2/27/22,0.15,,,
2/28/22,0.15,,,
3/1/22,0.15,,,
3/2/22,0.15,,,
3/3/22,0.15,,,
3/4/22,0.15,,,
3/5/22,0.15,,,
3/6/22,0.15,,,
3/7/22,0.15,,,
3/8/22,0.15,,,
3/9/22,0.15,,,
3/10/22,0.15,,,
3/11/22,0.15,,,
3/12/22,0.15,,,
3/13/22,0.15,,,
3/14/22,0.15,,,
3/15/22,0.15,,,
3/16/22,0.15,,,
3/17/22,0.4,,,
3/18/22,0.4,,,
3/19/22,0.4,,,
3/20/22,0.4,,,
3/21/22,0.4,,,
3/22/22,0.4,,,
3/23/22,0.4,,,
3/24/22,0.4,,,
3/25/22,0.4,,,
3/26/22,0.4,,,
3/27/22,0.4,,,
3/28/22,0.4,,,
3/29/22,0.4,,,
3/30/22,0.4,,,
3/31/22,0.4,,,
4/1/22,0.4,,,
4/2/22,0.4,,,
4/3/22,0.4,,,
4/4/22,0.4,,,
4/5/22,0.4,,,
4/6/22,0.4,,,
4/7/22,0.4,,,
4/8/22,0.4,,,
4/9/22,0.4,,,
4/10/22,0.4,,,
4/11/22,0.4,,,
4/12/22,0.4,,,
4/13/22,0.4,,,
4/14/22,0.4,,,
4/15/22,0.4,,,
4/16/22,0.4,,,
4/17/22,0.4,,,
4/18/22,0.4,,,
4/19/22,0.4,,,
4/20/22,0.4,,,
4/21/22,0.4,,,
4/22/22,0.4,,,
4/23/22,0.4,,,
4/24/22,0.4,,,
4/25/22,0.4,,,
4/26/22,0.4,,,
4/27/22,0.4,,,
4/28/22,0.4,,,
4/29/22,0.4,,,
4/30/22,0.4,,,
5/1/22,0.4,,,
5/2/22,0.4,,,
5/3/22,0.4,,,
5/4/22,0.4,,,
5/5/22,0.9,,,
5/6/22,0.9,,,
5/7/22,0.9,,,
5/8/22,0.9,,,
5/9/22,0.9,,,
5/10/22,0.9,,,
5/11/22,0.9,,,
5/12/22,0.9,,,
5/13/22,0.9,,,
5/14/22,0.9,,,
5/15/22,0.9,,,
5/16/22,0.9,,,
5/17/22,0.9,,,
5/18/22,0.9,,,
5/19/22,0.9,,,
5/20/22,0.9,,,
5/21/22,0.9,,,
5/22/22,0.9,,,
5/23/22,0.9,,,
5/24/22,0.9,,,
5/25/22,0.9,,,
5/26/22,0.9,,,
5/27/22,0.9,,,
5/28/22,0.9,,,
5/29/22,0.9,,,
5/30/22,0.9,,,
5/31/22,0.9,,,
6/1/22,0.9,,,
6/2/22,0.9,,,
6/3/22,0.9,,,
6/4/22,0.9,,,
6/5/22,0.9,,,
6/6/22,0.9,,,
6/7/22,0.9,,,
6/8/22,0.9,,,
6/9/22,0.9,,,
6/10/22,0.9,,,
6/11/22,0.9,,,
6/12/22,0.9,,,
6/13/22,0.9,,,
6/14/22,0.9,,,
6/15/22,0.9,,,
6/16/22,1.65,,,
6/17/22,1.65,,,
6/18/22,1.65,,,
6/19/22,1.65,,,
6/20/22,1.65,,,
6/21/22,1.65,,,
6/22/22,1.65,,,
6/23/22,1.65,,,
6/24/22,1.65,,,
6/25/22,1.65,,,
6/26/22,1.65,,,
6/27/22,1.65,,,
6/28/22,1.65,,,
6/29/22,1.65,,,
6/30/22,1.65,,,
7/1/22,1.65,,,
7/2/22,1.65,,,
7/3/22,1.65,,,
7/4/22,1.65,,,
7/5/22,1.65,,,
7/6/22,1.65,,,
7/7/22,1.65,,,
7/8/22,1.65,,,
7/9/22,1.65,,,
7/10/22,1.65,,,
7/11/22,1.65,,,
7/12/22,1.65,,,
7/13/22,1.65,,,
7/14/22,1.65,,,
7/15/22,1.65,,,
7/16/22,1.65,,,
7/17/22,1.65,,,
7/18/22,1.65,,,
7/19/22,1.65,,,
7/20/22,1.65,,,
7/21/22,1.65,,,
7/22/22,1.65,,,
7/23/22,1.65,,,
7/24/22,1.65,,,
7/25/22,1.65,,,
7/26/22,1.65,,,
7/27/22,1.65,,,
7/28/22,2.4,,,
7/29/22,2.4,,,
7/30/22,2.4,,,
7/31/22,2.4,,,
8/1/22,2.4,,,
8/2/22,2.4,,,
8/3/22,2.4,,,
8/4/22,2.4,,,
8/5/22,2.4,,,
8/6/22,2.4,,,
8/7/22,2.4,,,
8/8/22,2.4,,,
8/9/22,2.4,,,
8/10/22,2.4,,,
8/11/22,2.4,,,
8/12/22,2.4,,,
8/13/22,2.4,,,
8/14/22,2.4,,,
8/15/22,2.4,,,
8/16/22,2.4,,,
8/17/22,2.4,,,
8/18/22,2.4,,,
8/19/22,2.4,,,
8/20/22,2.4,,,
8/21/22,2.4,,,
8/22/22,2.4,,,
8/23/22,2.4,,,
8/24/22,2.4,,,
8/25/22,2.4,,,
8/26/22,2.4,,,
8/27/22,2.4,,,
8/28/22,2.4,,,
8/29/22,2.4,,,
8/30/22,2.4,,,
8/31/22,2.4,,,
9/1/22,2.4,,,
9/2/22,2.4,,,
9/3/22,2.4,,,
9/4/22,2.4,,,
9/5/22,2.4,,,
9/6/22,2.4,,,
9/7/22,2.4,,,
9/8/22,2.4,,,
9/9/22,2.4,,,
9/10/22,2.4,,,
9/11/22,2.4,,,
9/12/22,2.4,,,
9/13/22,2.4,,,
9/14/22,2.4,,,
9/15/22,2.4,,,
9/16/22,2.4,,,
9/17/22,2.4,,,
9/18/22,2.4,,,
9/19/22,2.4,,,
9/20/22,2.4,,,
9/21/22,2.4,,,
9/22/22,3.15,,,
9/23/22,3.15,,,
9/24/22,3.15,,,
9/25/22,3.15,,,
9/26/22,3.15,,,
9/27/22,3.15,,,
9/28/22,3.15,,,
9/29/22,3.15,,,
9/30/22,3.15,,,
10/1/22,3.15,,,
10/2/22,3.15,,,
10/3/22,3.15,,,
10/4/22,3.15,,,
10/5/22,3.15,,,
10/6/22,3.15,,,
10/7/22,3.15,,,
10/8/22,3.15,,,
10/9/22,3.15,,,
10/10/22,3.15,,,
10/11/22,3.15,,,
10/12/22,3.15,,,
10/13/22,3.15,,,
10/14/22,3.15,,,
10/15/22,3.15,,,
10/16/22,3.15,,,
10/17/22,3.15,,,
10/18/22,3.15,,,
10/19/22,3.15,,,
10/20/22,3.15,,,
10/21/22,3.15,,,
10/22/22,3.15,,,
10/23/22,3.15,,,
10/24/22,3.15,,,
10/25/22,3.15,,,
10/26/22,3.15,,,
10/27/22,3.15,,,
10/28/22,3.15,,,
10/29/22,3.15,,,
10/30/22,3.15,,,
10/31/22,3.15,,,
11/1/22,3.15,,,
11/2/22,3.15,,,
11/3/22,3.9,,,
11/4/22,3.9,,,
11/5/22,3.9,,,
11/6/22,3.9,,,
11/7/22,3.9,,,
11/8/22,3.9,,,
11/9/22,3.9,,,
11/10/22,3.9,,,
11/11/22,3.9,,,
11/12/22,3.9,,,
11/13/22,3.9,,,
11/14/22,3.9,,,
11/15/22,3.9,,,
11/16/22,3.9,,,
11/17/22,3.9,,,
11/18/22,3.9,,,
11/19/22,3.9,,,
11/20/22,3.9,,,
11/21/22,3.9,,,
11/22/22,3.9,,,
11/23/22,3.9,,,
11/24/22,3.9,,,
11/25/22,3.9,,,
11/26/22,3.9,,,
11/27/22,3.9,,,
11/28/22,3.9,,,
11/29/22,3.9,,,
11/30/22,3.9,,,
12/1/22,3.9,,,
12/2/22,3.9,,,
12/3/22,3.9,,,
12/4/22,3.9,,,
12/5/22,3.9,,,
12/6/22,3.9,,,
12/7/22,3.9,,,
12/8/22,3.9,,,
12/9/22,3.9,,,
12/10/22,3.9,,,
12/11/22,3.9,,,
12/12/22,3.9,,,
12/13/22,3.9,,,
12/14/22,3.9,,,
12/15/22,4.4,,,
12/16/22,4.4,,,
12/17/22,4.4,,,
12/18/22,4.4,,,
12/19/22,4.4,,,
12/20/22,4.4,,,
12/21/22,4.4,,,
12/22/22,4.4,,,
12/23/22,4.4,,,
12/24/22,4.4,,,
12/25/22,4.4,,,
12/26/22,4.4,,,
12/27/22,4.4,,,
12/28/22,4.4,,,
12/29/22,4.4,,,
12/30/22,4.4,,,
12/31/22,4.4,,,
1/1/23,4.4,,,
1/2/23,4.4,,,
1/3/23,4.4,,,
1/4/23,4.4,,,
1/5/23,4.4,,,
1/6/23,4.4,,,
1/7/23,4.4,,,
1/8/23,4.4,,,
1/9/23,4.4,,,
1/10/23,4.4,,,
1/11/23,4.4,,,
1/12/23,4.4,,,
1/13/23,4.4,,,
1/14/23,4.4,,,
1/15/23,4.4,,,
1/16/23,4.4,,,
1/17/23,4.4,,,
1/18/23,4.4,,,
1/19/23,4.4,,,
1/20/23,4.4,,,
1/21/23,4.4,,,
1/22/23,4.4,,,
1/23/23,4.4,,,
1/24/23,4.4,,,
1/25/23,4.4,,,
1/26/23,4.4,,,
1/27/23,4.4,,,
1/28/23,4.4,,,
1/29/23,4.4,,,
1/30/23,4.4,,,
1/31/23,4.4,,,
2/1/23,4.4,,,
2/2/23,4.65,,,
2/3/23,4.65,,,
2/4/23,4.65,,,
2/5/23,4.65,,,
2/6/23,4.65,,,
2/7/23,4.65,,,
2/8/23,4.65,,,
2/9/23,4.65,,,
2/10/23,4.65,,,
2/11/23,4.65,,,
2/12/23,4.65,,,
2/13/23,4.65,,,
2/14/23,4.65,,,
2/15/23,4.65,,,
2/16/23,4.65,,,
2/17/23,4.65,,,
2/18/23,4.65,,,
2/19/23,4.65,,,
2/20/23,4.65,,,
2/21/23,4.65,,,
2/22/23,4.65,,,
2/23/23,4.65,,,
2/24/23,4.65,,,
2/25/23,4.65,,,
2/26/23,4.65,,,
2/27/23,4.65,,,
2/28/23,4.65,,,
3/1/23,4.65,,,
3/2/23,4.65,,,
3/3/23,4.65,,,
3/4/23,4.65,,,
3/5/23,4.65,,,
3/6/23,4.65,,,
3/7/23,4.65,,,
3/8/23,4.65,,,
3/9/23,4.65,,,
3/10/23,4.65,,,
3/11/23,4.65,,,
3/12/23,4.65,,,
3/13/23,4.65,,,
3/14/23,4.65,,,
3/15/23,4.65,,,
3/16/23,4.65,,,
3/17/23,4.65,,,
3/18/23,4.65,,,
3/19/23,4.65,,,
3/20/23,4.65,,,
3/21/23,4.65,,,
3/22/23,4.65,,,
3/23/23,4.9,,,
3/24/23,4.9,,,
3/25/23,4.9,,,
3/26/23,4.9,,,
3/27/23,4.9,,,
3/28/23,4.9,,,
3/29/23,4.9,,,
3/30/23,4.9,,,
3/31/23,4.9,,,
4/1/23,4.9,,,
4/2/23,4.9,,,
4/3/23,4.9,,,
4/4/23,4.9,,,
4/5/23,4.9,,,
4/6/23,4.9,,,
4/7/23,4.9,,,
4/8/23,4.9,,,
4/9/23,4.9,,,
4/10/23,4.9,,,
4/11/23,4.9,,,
4/12/23,4.9,,,
4/13/23,4.9,,,
4/14/23,4.9,,,
4/15/23,4.9,,,
4/16/23,4.9,,,
4/17/23,4.9,,,
4/18/23,4.9,,,
4/19/23,4.9,,,
4/20/23,4.9,,,
4/21/23,4.9,,,
4/22/23,4.9,,,
4/23/23,4.9,,,
4/24/23,4.9,,,
4/25/23,4.9,,,
4/26/23,4.9,,,
4/27/23,4.9,,,
4/28/23,4.9,,,
4/29/23,4.9,,,
4/30/23,4.9,,,
5/1/23,4.9,,,
5/2/23,4.9,,,
5/3/23,4.9,,,
5/4/23,5.15,,,
5/5/23,5.15,,,
5/6/23,5.15,,,
5/7/23,5.15,,,
5/8/23,5.15,,,
5/9/23,5.15,,,
5/10/23,5.15,,,
5/11/23,5.15,,,
5/12/23,5.15,,,
5/13/23,5.15,,,
5/14/23,5.15,,,
5/15/23,5.15,,,
5/16/23,5.15,,,
5/17/23,5.15,,,
5/18/23,5.15,,,
5/19/23,5.15,,,
5/20/23,5.15,,,
5/21/23,5.15,,,
5/22/23,5.15,,,
5/23/23,5.15,,,
5/24/23,5.15,,,
5/25/23,5.15,,,
5/26/23,5.15,,,
5/27/23,5.15,,,
5/28/23,5.15,,,
5/29/23,5.15,,,
5/30/23,5.15,,,
5/31/23,5.15,,,
6/1/23,5.15,,,
6/2/23,5.15,,,
6/3/23,5.15,,,
6/4/23,5.15,,,
6/5/23,5.15,,,
6/6/23,5.15,,,
6/7/23,5.15,,,
6/8/23,5.15,,,
6/9/23,5.15,,,
6/10/23,5.15,,,
6/11/23,5.15,,,
6/12/23,5.15,,,
6/13/23,5.15,,,
6/14/23,5.15,,,
6/15/23,5.15,,,
6/16/23,5.15,,,
6/17/23,5.15,,,
6/18/23,5.15,,,
6/19/23,5.15,,,
6/20/23,5.15,,,