DATE,PCEC,,
1/1/47,156.161,,https://fred.stlouisfed.org/series/PCEC
4/1/47,160.031,,
7/1/47,163.543,,
10/1/47,167.672,,
1/1/48,170.372,,
4/1/48,174.142,,
7/1/48,177.072,,
10/1/48,177.928,,
1/1/49,176.831,,
4/1/49,178.446,,
7/1/49,177.806,,
10/1/49,180.249,,
1/1/50,182.92,,
4/1/50,186.806,,
7/1/50,200.505,,
10/1/50,197.946,,
1/1/51,209.207,,
4/1/51,204.942,,
7/1/51,207.616,,
10/1/51,211.59,,
1/1/52,212.969,,
4/1/52,217.088,,
7/1/52,219.553,,
10/1/52,227.67,,
1/1/53,231.22,,
4/1/53,232.96,,
7/1/53,233.666,,
10/1/53,233.112,,
1/1/54,235.154,,
4/1/54,237.885,,
7/1/54,240.303,,
10/1/54,245.093,,
1/1/55,251.398,,
4/1/55,256.466,,
7/1/55,260.651,,
10/1/55,264.639,,
1/1/56,266.156,,
4/1/56,268.834,,
7/1/56,272.075,,
10/1/56,277.445,,
1/1/57,281.889,,
4/1/57,284.176,,
7/1/57,288.75,,
10/1/57,290.368,,
1/1/58,289.888,,
4/1/58,292.819,,
7/1/58,297.893,,
10/1/58,301.823,,
1/1/59,309.449,,
4/1/59,315.505,,
7/1/59,320.725,,
10/1/59,322.842,,
1/1/60,326.364,,
4/1/60,332.208,,
7/1/60,332.126,,
10/1/60,334.024,,
1/1/61,334.52,,
4/1/61,339.455,,
7/1/61,342.332,,
10/1/61,349.593,,
1/1/62,354.822,,
4/1/62,360.458,,
7/1/62,364.333,,
10/1/62,370.618,,
1/1/63,374.283,,
4/1/63,378.413,,
7/1/63,385.394,,
10/1/63,390.049,,
1/1/64,399.581,,
4/1/64,407.536,,
7/1/64,416.422,,
10/1/64,418.987,,
1/1/65,429.711,,
4/1/65,436.642,,
7/1/65,445.804,,
10/1/65,459.736,,
1/1/66,470.136,,
4/1/66,475.189,,
7/1/66,484.291,,
10/1/66,490.06,,
1/1/67,494.317,,
4/1/67,503.458,,
7/1/67,510.717,,
10/1/67,518.249,,
1/1/68,536.297,,
4/1/68,550.014,,
7/1/68,566.122,,
10/1/68,574.977,,
1/1/69,587.005,,
4/1/69,598.337,,
7/1/69,608.626,,
10/1/69,620.586,,
1/1/70,631.685,,
4/1/70,641.57,,
7/1/70,653.482,,
10/1/70,660.161,,
1/1/71,679.186,,
4/1/71,693.225,,
7/1/71,705.599,,
10/1/71,721.739,,
1/1/72,738.948,,
4/1/72,757.364,,
7/1/72,775.799,,
10/1/72,800.502,,
1/1/73,825.007,,
4/1/73,840.527,,
7/1/73,858.877,,
10/1/73,873.887,,
1/1/74,891.868,,
4/1/74,920.422,,
7/1/74,949.276,,
10/1/74,959.079,,
1/1/75,985.19,,
4/1/75,1013.582,,
7/1/75,1047.192,,
10/1/75,1076.223,,
1/1/76,1109.908,,
4/1/76,1129.54,,
7/1/76,1158.806,,
10/1/76,1192.408,,
1/1/77,1228.212,,
4/1/77,1255.98,,
7/1/77,1286.905,,
10/1/77,1324.804,,
1/1/78,1354.053,,
4/1/78,1411.385,,
7/1/78,1442.217,,
10/1/78,1481.354,,
1/1/79,1517.141,,
4/1/79,1557.635,,
7/1/79,1611.867,,
10/1/79,1655.035,,
1/1/80,1702.302,,
4/1/80,1704.723,,
7/1/80,1763.771,,
10/1/80,1831.874,,
1/1/81,1885.734,,
4/1/81,1917.524,,
7/1/81,1958.099,,
10/1/81,1974.447,,
1/1/82,2014.155,,
4/1/82,2039.645,,
7/1/82,2085.671,,
10/1/82,2145.554,,
1/1/83,2184.589,,
4/1/83,2249.438,,
7/1/83,2319.895,,
10/1/83,2372.496,,
1/1/84,2418.165,,
4/1/84,2475.876,,
7/1/84,2513.523,,
10/1/84,2561.797,,
1/1/85,2636.008,,
4/1/85,2681.764,,
7/1/85,2754.148,,
10/1/85,2779.4,,
1/1/86,2823.648,,
4/1/86,2851.456,,
7/1/86,2917.201,,
10/1/86,2952.807,,
1/1/87,2983.513,,
4/1/87,3053.33,,
7/1/87,3117.358,,
10/1/87,3150.916,,
1/1/88,3231.896,,
4/1/88,3291.716,,
7/1/88,3361.899,,
10/1/88,3434.539,,
1/1/89,3490.172,,
4/1/89,3553.767,,
7/1/89,3609.399,,
10/1/89,3653.692,,
1/1/90,3737.948,,
4/1/90,3783.421,,
7/1/90,3846.7,,
10/1/90,3867.909,,
1/1/91,3873.562,,
4/1/91,3926.932,,
7/1/91,3973.269,,
10/1/91,4000.032,,
1/1/92,4100.401,,
4/1/92,4155.66,,
7/1/92,4226.971,,
10/1/92,4307.205,,
1/1/93,4349.515,,
4/1/93,4418.581,,
7/1/93,4487.189,,
10/1/93,4552.651,,
1/1/94,4621.223,,
4/1/94,4683.163,,
7/1/94,4752.761,,
10/1/94,4826.713,,
1/1/95,4862.436,,
4/1/95,4933.609,,
7/1/95,4998.662,,
10/1/95,5055.655,,
1/1/96,5130.615,,
4/1/96,5220.499,,
7/1/96,5274.505,,
10/1/96,5352.763,,
1/1/97,5433.105,,
4/1/97,5471.267,,
7/1/97,5579.179,,
10/1/97,5663.61,,
1/1/98,5721.342,,
4/1/98,5832.566,,
7/1/98,5926.846,,
10/1/98,6028.238,,
1/1/99,6102.04,,
4/1/99,6230.641,,
7/1/99,6335.31,,
10/1/99,6467.039,,
1/1/00,6618.217,,
4/1/00,6711.911,,
7/1/00,6819.984,,
10/1/00,6918.606,,
1/1/01,6995.298,,
4/1/01,7042.25,,
7/1/01,7070.337,,
10/1/01,7187.32,,
1/1/02,7217.715,,
4/1/02,7307.955,,
7/1/02,7397.135,,
10/1/02,7472.958,,
1/1/03,7567.16,,
4/1/03,7661.458,,
7/1/03,7820.927,,
10/1/03,7913.453,,
1/1/04,8048.777,,
4/1/04,8147.108,,
7/1/04,8283.335,,
10/1/04,8448.621,,
1/1/05,8551.735,,
4/1/05,8701.145,,
7/1/05,8868.089,,
10/1/05,8955.295,,
1/1/06,9100.153,,
4/1/06,9227.649,,
7/1/06,9353.772,,
10/1/06,9427.368,,
1/1/07,9572.138,,
4/1/07,9678.713,,
7/1/07,9798.383,,
10/1/07,9937.14,,
1/1/08,10004.445,,
4/1/08,10129.869,,
7/1/08,10159.078,,
10/1/08,9906.942,,
1/1/09,9814.969,,
4/1/09,9805.502,,
7/1/09,9939.406,,
10/1/09,10004.996,,
1/1/10,10101.822,,
4/1/10,10208.145,,
7/1/10,10300.754,,
10/1/10,10430.304,,
1/1/11,10558.195,,
4/1/11,10673.018,,
7/1/11,10755.029,,
10/1/11,10809.186,,
1/1/12,10959.301,,
4/1/12,11005.055,,
7/1/12,11059.393,,
10/1/12,11165.703,,
1/1/13,11265.599,,
4/1/13,11290.973,,
7/1/13,11379.188,,
10/1/13,11518.351,,
1/1/14,11618.108,,
4/1/14,11784.687,,
7/1/14,11934.297,,
10/1/14,12053.809,,
1/1/15,12083.904,,
4/1/15,12224.707,,
7/1/15,12347.752,,
10/1/15,12397.543,,
1/1/16,12495.078,,
4/1/16,12637.36,,
7/1/16,12759.058,,
10/1/16,12881.566,,
1/1/17,13049.405,,
4/1/17,13133.989,,
7/1/17,13260.313,,
10/1/17,13490.728,,
1/1/18,13677.349,,
4/1/18,13850.838,,
7/1/18,13988.794,,
10/1/18,14102.937,,
1/1/19,14145.897,,
4/1/19,14323.749,,
7/1/19,14482.196,,
10/1/19,14619.042,,
1/1/20,14440.16,,
4/1/20,13049.766,,
7/1/20,14388.701,,
10/1/20,14586.036,,
1/1/21,15131.484,,
4/1/21,15813.545,,
7/1/21,16147.297,,
10/1/21,16517.976,,
1/1/22,16874.769,,
4/1/22,17261.338,,
7/1/22,17542.652,,
10/1/22,17749.893,,
1/1/23,18098.725,,